city,state,country,shape,comments,latitude,longitude,date,time,datetime
aviano (italy),,Italy,circle,another sighting at Aviano Air Base Italy,46.069374,12.588306,2005-05-15,15:00,2005-05-15 15:00
grays (essex) (uk/england),,United Kingdom,changing,Ball shaped ufo seen in england by three witnesses.,51.483333,0.333333,2005-05-15,15:00,2005-05-15 15:00
london (uk/london),,United Kingdom,disk,I have this craft on tape IF YOU WISH TO HAVE A COPY OF IT,51.514125,-0.093689,2005-05-15,16:00,2005-05-15 16:00
coventry (uk/england),,United Kingdom,cigar,dark  tumbling cylinder sighted in binoculars coventry uk,52.416667,-1.55,2005-05-15,17:00,2005-05-15 17:00
bedford (uk/england),,United Kingdom,triangle,Total of 26 bright  white lights in blue sky,52.133333,-0.45,2005-05-15,19:00,2005-05-15 19:00
wolverhampton (uk/england),,United Kingdom,cone,((HOAX??))  At my grandmars and I hered somthing so I went to to my grandmas room to see if she was o.k. and then i saw this co,52.583333,-2.133333,2009-05-15,01:00,2009-05-15 01:00
preston (uk/england),sk,United Kingdom,fireball,looked like a plane but was lit up red and then it slowed down and stopped then changed direction but going much slower and then just d,50.783333,-0.466667,2010-05-15,22:30,2010-05-15 22:30
tirana (albania),,Albania,diamond,The object was incredibly emiting blue light and with an aura&#44when we occured its presence it evanished in a few sec,41.327546,19.818698,2008-05-16,21:07,2008-05-16 21:07
kibworth&#44 leicestershire (uk/england),,Uk/england,fireball,3 Fireballs in the sky above Kibworth in Leicestershire England.,52.54,-0.99,2009-05-16,21:59,2009-05-16 21:59
france (49.07xx&#176;n&#44 1.39xx&#176;e),,Fuck,fireball,A  very bright (magnitude equal to that of Venus&#44 i.e. -4.50) orange/yellow ball moving SE-NE in clear sky. Disappeared after 30 secs,46.227638,2.213749,2012-05-16,22:50,2012-05-16 22:50
wimborne/dorset&#44 dorset (uk/england),,Uk/england,triangle,I was standing at my back door having a cigarete when I saw 3 bright orange lights in a perfect triangular fashion moving very slowly t,50.800657,-1.984495,1998-05-17,22:05,1998-05-17 22:05
middlesborough (uk/england),,United Kingdom,unknown,I was stood having a cigarette in the garden and as usual i just looked up at the stars&#44 especially Orion&#44 and a light only seen as a s,54.572778,-1.162778,2001-05-17,22:15,2001-05-17 22:15
v&auml;stervik (sweden),,Sweden,chevron,Two white lights with blinking red light between.,57.757716,16.636976,2003-05-17,01:30,2003-05-17 01:30
southampton (uk/england),,United Kingdom,formation,for about 15 mins me and a freind watched 9 lights in formation in the south of england (uk) on the 05/17/04,50.9,-1.4,2004-05-17,02:45,2004-05-17 02:45
doncaster (uk/england),,United Kingdom,oval,17 May 2004 - UFO sighting in the UK. Three large oval shaped lights moving very fast in the sky.,53.533333,-1.116667,2004-05-17,22:00,2004-05-17 22:00
wirral&#44 cheshire (uk/england),,Uk/england,triangle,Invisible with silver triangular back.,53.333333,-3.083333,2006-05-17,20:05,2006-05-17 20:05
putten (netherlands),,Netherlands,unknown,a strange object right above the sun in a picture,52.258676,5.605373,2005-05-18,14:00,2005-05-18 14:00
leicester (uk/england),,United Kingdom,unknown,3 bright lights and a small red light on a circular craft,52.664913,-1.034894,2005-05-18,21:50,2005-05-18 21:50
lancashire (uk/england),,United Kingdom,unknown,Lancashire&#44 UK at about 9:30pm&#44 an UFO passed over a crowd on BIG BROTHER live on Channel 4.  The UFO sighted by me was too bright to b,53.888996,-2.633778,2006-05-18,21:20,2006-05-18 21:20
birmingham (uk/england),,United Kingdom,triangle,((HOAX??))  it was scary shocking a starnge.,52.466667,-1.916667,2010-05-18,21:00,2010-05-18 21:00
zadar (croatia),,Croatia,unknown,((HOAX??))  Red light in the sky&#44the object moved at speed from one place to enother&#44 then vanishd,44.119371,15.231365,2011-05-18,04:00,2011-05-18 04:00
colchester to essex,vt,United States,light,20 to 40 bright orange lights seen flying on formation flying over Colchester/Essex VT area&#44 abruptly disappearing.,51.895927,0.891874,2013-05-18,21:50,2013-05-18 21:50
epernay (near) (france),,France,other,When penetrating to the inner core of the aliens light signals were sent by you&#33,49.043411,3.956242,1991-05-19,00:00,1991-05-19 00:00
kent (uk/england),,United Kingdom,cigar,black cigar shaped object,51.25,0.75,2004-05-19,14:15,2004-05-19 14:15
split,,Croatia,other,A yellow light over Split (Croatia - Europe),43.508132,16.440193,2007-05-19,22:57,2007-05-19 22:57
london (uk/england),,United Kingdom,light,If I had only seen the two lights I would have let it go but the following lights clarified this was maybe a once in a life time moment,51.514125,-0.093689,2007-05-19,23:50,2007-05-19 23:50
alkmaar (netherlands),,Netherlands,light,Single reflecting object moving fast and changing direction.  bright&#44 fast&#33,52.632381,4.753375,2009-05-19,22:30,2009-05-19 22:30
uk/england,,United Kingdom,disk,Ufo Exploded,52.355518,-1.17432,2009-05-19,23:59,2009-05-19 23:59
trapani (tp) (italy),,Italy,formation,Due sfere infuocate su Marsala.  ((NUFORC Note:  See &quot;Description&quot; for translation from Italian.  PD)),38.017618,12.537202,2010-05-19,23:12,2010-05-19 23:12
darlington (uk/england),,United Kingdom,teardrop,Two orange oibjects travelling 12 feet apart across the night sky- never seen this before,50.45,-3.716667,2011-05-19,22:50,2011-05-19 22:50
uk/england,,United Kingdom,cigar,UFO with single bright flashing light flew very fast and very low over horizon .,52.355518,-1.17432,1999-05-20,21:15,1999-05-20 21:15
knaresborough&#44 north yorkshire (uk/england),,Uk/england,formation,there was 2 redish orange glowing spheres spinning round themselves heading my way,54.011022,-1.47102,2001-05-20,18:00,2001-05-20 18:00
london (uk/england),,United Kingdom,changing,An amazing and beautiful collection of bright lights that spoke kindly and manipulated matter.,51.514125,-0.093689,2001-05-20,23:00,2001-05-20 23:00
becej (serbia),,Serbia,unknown,Strange things.,45.616667,20.033333,2005-05-20,11:00,2005-05-20 11:00
