city,state,country,shape,comments,latitude,longitude,date,time,datetime
kaunas (lithuania),,Lithuania,unknown,alien encounter [?] .. frog with antenna,54.898521,23.903597,1992-10-20,02:00,1992-10-20 02:00
grimsby (uk/england),,United Kingdom,egg,Bright green egg shaped object hovering for some time then shot off in a nothern direction very fast,53.533333,-0.05,1997-10-20,22:00,1997-10-20 22:00
scunthorpe (uk/england),,United Kingdom,triangle,A silent triangular object around 60 feet corner to corner,53.583333,-0.65,2000-10-20,20:20,2000-10-20 20:20
newport (uk/england),,United Kingdom,diamond,Diamond&#44 Transparent&#44 destorting background stars.,52.016667,-4.833333,2000-10-20,23:00,2000-10-20 23:00
swanley (uk/england),,Uk/england,light,at approximately ten thirty pm i was standing outside my house.  i had been photographing the moon.  suddenly&#44 i became aware of a very,51.396531,0.177326,2003-10-20,22:30,2003-10-20 22:30
castleford (uk/england),,United Kingdom,light,pulsing lights,53.716667,-1.35,2004-10-20,06:30,2004-10-20 06:30
essex (uk/england),,United Kingdom,other,30 orange star like objects hovering above the M25,51.833333,0.583333,2005-10-20,20:51,2005-10-20 20:51
varberg (sweden),,Sweden,other,Stealth Aircraft?,57.107118,12.252091,2010-10-20,18:05,2010-10-20 18:05
berlin (germany),,Germany,unknown,Ovni a berlin. Sorte de tissu noir&#44 flottant en apesanteur&#44 et changeant. Eclair&eacute; par en dessous par de p&acirc;les mini flash a intermittenc,52.516667,13.4,2012-10-20,18:00,2012-10-20 18:00
szczecinek (poland),,Poland,other,Triangle-shaped object and a bright pulsing light,53.710071,16.69936,2013-10-20,21:30,2013-10-20 21:30
cesena (italy),,Italy,disk,Cesena landing,44.139644,12.246429,2002-10-21,19:40,2002-10-21 19:40
canvey island&#44 essex (uk/england),,Uk/england,chevron,21:00 east of London&#44 UK&#44 2 black boomerang shaped craft&#44 no lights or sound&#44 sped off and disappeared in about 5 seconds - lit by moon,51.517083,0.578411,2004-10-21,21:00,2004-10-21 21:00
weert (netherlands),,Netherlands,cigar,light-blue light&#44  with red light on the right-side point&#44 smaller than the blue light&#44 flying up West-East very fast,51.243942,5.714222,2004-10-21,21:10,2004-10-21 21:10
bristol (uk/england),,United Kingdom,light,it was changing colour &#44 zig zag pattern&#44 rapid upward travel.,51.45,-2.583333,2005-10-21,13:00,2005-10-21 13:00
hereford (uk/england),,United Kingdom,disk,moving lights spotted above hereford in england,52.05,-2.716667,2007-10-21,03:20,2007-10-21 03:20
durham county (uk/england),,United Kingdom,light,2 lights above Co. Durham U.K.,54.766667,-1.566667,2012-10-21,03:20,2012-10-21 03:20
mitchelstown (republic of ireland),,Ireland,unknown,I saw one object moving erracticly across the sky at vairous different speed&#39s. There was no sound accompanying the object. it was also,52.266213,-8.269886,2000-10-02,20:30,2000-10-02 20:30
bridlington (uk/england),,United Kingdom,oval,This is real,54.095,-0.208056,2004-10-02,21:20,2004-10-02 21:20
cheshire&#44 lymm (uk/england),,Uk/england,light,light moving around&#44 green comet.,53.381724,-2.480044,2009-10-02,02:00,2009-10-02 02:00
bridlington (uk/england),,United Kingdom,triangle,red light comming from south[hull]]clear night flow over bridlington south beech to flambough head as it passed over they was on sound,54.095,-0.208056,2000-10-22,20:50,2000-10-22 20:50
asker (norway),,Norway,unknown,3 lights floating  soundless some hundred meters up in the sky&#44 a dark and starry morning.,59.833335,10.437209,2003-10-22,06:30,2003-10-22 06:30
cheltenham (uk/england),,United Kingdom,fireball,Fireballs on garden,51.9,-2.083333,2003-10-22,21:00,2003-10-22 21:00
bassevelde (belgium),,Belgium,circle,Lightshow above our home,51.230556,3.6775,2005-10-22,22:20,2005-10-22 22:20
dundee (uk/scotland),,United Kingdom,teardrop,CRAFT WITH EMITTING FLAMES,56.5,-2.966667,2007-10-22,24:00,2007-10-22 24:00
kirkby in ashfield (uk/england),,United Kingdom,fireball,orange ball seen over kirkby in ashfield nottinghamshire england,53.083333,-1.266667,2008-10-22,19:25,2008-10-22 19:25
morden&#44 surrey (uk/england),,Uk/england,triangle,Cluster of orange lights over Morden UK,51.394943,-0.19446,2009-10-22,21:30,2009-10-22 21:30
stockholm (sweden),,Sweden,triangle,triangle shaped ufo high up in the sky outside of stockholm year 2000,59.329323,18.068581,2000-10-23,00:30,2000-10-23 00:30
prespa region (macedonia),,Fuck,other,Report from Macedonia,40.883316,21.022196,2000-10-23,24:00,2000-10-23 24:00
cyprus (mediterranean sea),,United States,formation,twenty orange coloured oblong shapes arranging themselves into a formation&#44 silently.,35.126413,33.429859,2005-10-23,21:00,2005-10-23 21:00
wimborne&#44 dorset (uk/england),,Uk/england,sphere,Two silver spheres travelling through the sky.,50.800657,-1.984495,2006-10-23,14:15,2006-10-23 14:15
burnley  (lancashire) (uk/england),,United Kingdom,fireball,firey orange object  no sound,53.8,-2.233333,2007-10-23,20:30,2007-10-23 20:30
tyrrhenian sea,,Fuck,sphere,blue colour sphere was obsereved from containership&#44dia abt 4mtrs&#44from dist of abt 8mtr.Moved after twds Italian coast.,40.076986,11.343106,1995-10-24,02:00,1995-10-24 02:00
rotherham (uk/england),,United Kingdom,circle,Round whitish reflective ufo followed by military helicopter not long after sighting,53.433333,-1.35,2002-10-24,11:00,2002-10-24 11:00
cheltenham (uk/england),,United Kingdom,light,GREEN LIGHT BALLS CHASING  EACH OTHER,51.9,-2.083333,2002-10-24,21:00,2002-10-24 21:00
