city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
hayward,ca,United States,circle,120.0,2/min.,11/20/2001,37.6688889,-122.0797222,10/10/2001,20:35
ottumwa,ia,United States,rectangle,300.0,3-5 minutes,11/20/2001,41.0041667,-92.3736111,10/10/2001,21:15
fresno,ca,United States,changing,900.0,15 min. apprx,11/20/2001,36.7477778,-119.7713889,10/10/2001,21:30
phoenix,az,United States,triangle,60.0,less then a minute,11/20/2001,33.4483333,-112.0733333,10/10/2001,22:00
virginia beach,va,United States,triangle,30.0,30 seconds,7/26/2002,36.8527778,-75.9783333,10/10/2001,23:00
hayward,wi,United States,flash,43.0,00:43,10/15/2002,46.0130556,-91.4844444,10/10/2002,00:01
philomath,or,United States,unknown,5.0,about5seconds,10/15/2002,44.5402778,-123.3663889,10/10/2002,02:00
adelaide (pt. wakefield) (south australia),,Australia,circle,600.0,10 mins,10/28/2002,-34.928661,138.598633,10/10/2002,04:00
seattle,wa,United States,sphere,90.0,90 seconds,10/15/2002,47.6063889,-122.3308333,10/10/2002,06:00
victoria (canada),bc,Canada,unknown,120.0,2 minutes approx,10/15/2002,46.216667,-63.483333,10/10/2002,19:45
cincinnati,oh,United States,other,1800.0,30 minutes,10/15/2002,39.1619444,-84.4569444,10/10/2002,20:30
portland,or,United States,circle,120.0,2min,12/16/2005,45.5236111,-122.675,10/10/2002,21:00
new buffulo,mi,United States,light,120.0,2 minute,5/24/2005,41.79393,-86.743915,10/10/2003,09:00
alhambra,ca,United States,oval,300.0,5 min,1/17/2004,34.0952778,-118.1261111,10/10/2003,12:00
indianapolis,in,United States,sphere,1800.0,30 minutes,10/15/2003,39.7683333,-86.1580556,10/10/2003,18:00
centreville,va,United States,other,600.0,10 minutes,10/15/2003,38.8402778,-77.4291667,10/10/2003,19:15
grand view,id,United States,light,15.0,12-15 seconds,10/15/2003,42.9897222,-116.0925,10/10/2003,20:05
temperance,mi,United States,oval,18000.0,over 5 hours,10/31/2003,41.7791667,-83.5688889,10/10/2003,20:25
crescent beach,sc,United States,formation,37800.0,1 1/2 hr.,1/17/2004,33.8075,-78.7011111,10/10/2003,21:10
albuquerque,nm,United States,light,180.0,3 minutes,2/1/2007,35.0844444,-106.6505556,10/10/2003,22:00
bickerton (near wetherby) (uk/england),,United Kingdom,unknown,2700.0,45minutes,10/15/2003,53.070884,-2.736506,10/10/2003,23:00
gleason,wi,United States,sphere,1800.0,30min,9/2/2005,45.3088889,-89.4963889,10/10/2003,23:25
mahwah,nj,United States,triangle,180.0,2 - 3 minutes,12/12/2011,41.0886111,-74.1441667,10/10/2004,02:50
worthington st. forest,nj,United States,other,2700.0,45 min,10/27/2004,40.058324,-74.405661,10/10/2004,03:30
portage la prairie (canada),mb,Canada,changing,1200.0,20minutes,10/27/2004,49.966667,-98.3,10/10/2004,03:50
terre haute,in,United States,sphere,5.0,5 seconds,10/27/2004,39.4666667,-87.4138889,10/10/2004,04:18
indianapolis,in,United States,oval,15.0,15 seconds,10/27/2004,39.7683333,-86.1580556,10/10/2004,08:30
nobel (canada),on,Canada,unknown,300.0,5:00,10/27/2004,45.416667,-80.1,10/10/2004,09:45
morgantown,wv,United States,circle,10.0,10 sec,5/24/2005,39.6294444,-79.9561111,10/10/2004,14:00
berkeley,ca,United States,unknown,180.0,3 minutes,5/24/2005,37.8716667,-122.2716667,10/10/2004,15:00
rock island,il,United States,sphere,3600.0,1 hour,10/27/2004,41.5094444,-90.5786111,10/10/2004,15:00
kedainiai (lithuania),,Lithuania,oval,240.0,4min,10/27/2004,55.288131,23.957728,10/10/2004,15:20
