city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
bridgend (uk/england),,United Kingdom,sphere,3600.0,ongoing more than an hour,10/25/2011,51.505833,-3.577222,10/25/2011,00:30
brixham.devon (at sea.fishing) (uk/england),,United Kingdom,sphere,1200.0,20 minets,11/4/2002,50.39514,-3.513924,10/26/1994,02:30
newport (uk/england),,United Kingdom,oval,1295.0,21:35,11/2/1999,52.016667,-4.833333,10/26/1999,21:15
birmingham (uk/england),,United Kingdom,sphere,10.0,10 seconds,10/31/2003,52.466667,-1.916667,10/26/2003,10:00
bristol (uk/england),,United Kingdom,other,3.0,3 seconds,12/19/2003,51.45,-2.583333,10/26/2003,21:30
stoke-on-trent (uk/england),,United Kingdom,sphere,1500.0,25minutes,10/30/2006,53.0,-2.183333,10/26/2006,06:30
northampton (uk/england),,United Kingdom,fireball,40.0,40 seconds,10/30/2006,52.25,-0.883333,10/26/2006,19:45
stoke-on-trent (uk/england),,United Kingdom,cylinder,30.0,30 seconds,1/27/2005,53.0,-2.183333,10/27/1997,19:30
ripon&#44 north yorkshire (uk/england),,United Kingdom,circle,10.0,00:00:10,11/9/1999,54.13564,-1.527334,10/27/1999,21:00
dundee (uk/scotland),,United Kingdom,cigar,180.0,3 min,10/28/2002,56.5,-2.966667,10/27/2002,17:00
bagheria (italy),,Italy,changing,1800.0,30 minutes,11/11/2013,38.078918,13.512365,10/27/2013,04:26
brandon (county durham)(uk/england),,United Kingdom,teardrop,1080.0,18 mins,12/9/2003,52.366667,-1.4,10/28/2000,20:05
gusum (sweden),,Sweden,circle,1200.0,20 min,11/2/2004,58.266667,16.483333,10/28/2004,20:00
pygra (cyprus),,Cyprus,triangle,2700.0,45mins,12/16/2005,49.85043,-73.60517,10/28/2005,01:30
glasgow (uk/scotland),,United Kingdom,other,10.0,10 seconds,11/28/2007,55.833333,-4.25,10/28/2007,12:10
bedford (uk/england),,United Kingdom,diamond,150.0,2.5 minutes +,11/21/2010,52.133333,-0.45,10/28/2010,19:25
wevershoof (netherlands),,Netherlands,circle,1800.0,30 min.,11/2/2004,52.730854,5.152193,10/29/2004,03:45
heule/kuurne (belgium),,Belgium,light,120.0,2 min,11/2/2004,50.843196,3.23472,10/29/2004,24:00
herefordshire (uk/england),,United Kingdom,sphere,10.0,10 secs,12/12/2011,52.083333,-2.75,10/29/2011,18:30
darwen&#44 lancashire (uk/england),,United Kingdom,circle,1200.0,20min,11/2/1999,53.829579,-2.597118,10/30/1999,01:10
l&#180;arbo&ccedil; (catalunya) (spain),,Spain,disk,2220.0,37 min,11/3/2005,41.265988,1.602034,10/30/2005,04:31
aberdeen (uk/scotland),,United Kingdom,circle,300.0,5mins,1/10/2009,57.166667,-2.666667,10/30/2008,19:40
heswall (uk/england),,United Kingdom,circle,60.0,1 min,12/12/2009,53.316667,-3.1,10/30/2009,20:59
london (uk/england),,United Kingdom,circle,180.0,3mins,12/12/2011,51.514125,-0.093689,10/30/2011,18:47
warrington (uk/england),,United Kingdom,other,60.0,1 minute,4/18/2012,53.383333,-2.6,10/30/2011,20:00
chirpan (bulgaria),,Bulgaria,light,180.0,3 minutes,10/30/2012,42.20207,25.324854,10/30/2012,19:15
grimsby (uk/england) ?,,United Kingdom,other,600.0,10 mins,11/20/2001,53.567471,-0.080784,10/31/2001,20:00
manchester (uk/england),,United Kingdom,triangle,180.0,3 mins,11/2/2004,53.5,-2.216667,10/31/2004,00:04
ivanka pri dunaji (slovakia),,Slovakia,light,20.0,20s,12/7/2006,48.188188,17.257228,10/31/2006,20:00
manchester (uk/england),,United Kingdom,diamond,600.0,10-mins,3/8/2007,53.5,-2.216667,10/31/2006,21:59
colchester (uk/england),,United Kingdom,light,600.0,10 mins,1/21/2008,51.883333,0.9,10/31/2007,21:30
london (uk/england),,United Kingdom,unknown,30.0,30 seconds,1/10/2009,51.514125,-0.093689,10/31/2008,09:25
hereford (uk/england),,United Kingdom,light,600.0,10 mins,1/10/2009,52.05,-2.716667,10/31/2008,21:50
birmingham (uk/england),,United Kingdom,sphere,600.0,10 min,12/12/2009,52.466667,-1.916667,10/31/2009,23:00
glasgow (uk/scotland),,United Kingdom,fireball,2.0,few seconds,10/30/2006,55.833333,-4.25,10/3/2006,22:00
chawton&#44 hampshire (uk/england),,United Kingdom,light,12.0,12 seconds,10/31/2008,51.131258,-0.987425,10/3/2008,10:30
london (uk/england),,United Kingdom,disk,30.0,30 sec,10/12/2001,51.514125,-0.093689,10/4/2001,09:45
port of spain (trinidad),,Spain,sphere,40.0,40 seconds,11/20/2001,10.666667,-61.516667,10/4/2001,12:30
glasgow (uk/scotland),,United Kingdom,diamond,10.0,<10 secs,12/23/2002,55.833333,-4.25,10/4/2002,07:20
hyvink&auml;&auml; (finland),,Finland,other,90.0,90 seconds,10/11/2005,60.631811,24.857883,10/4/2005,21:30
